timestamp,gaze_x,gaze_y,blink,gaze_dir,head_status,ear_left,ear_right
0.0159,0.43553,0.6521,0,<- LEFT,FORWARD,0.2489,0.2645
0.0553,0.43597,0.65218,0,<- LEFT,FORWARD,0.2611,0.2645
0.0716,0.43638,0.65243,0,<- LEFT,FORWARD,0.2532,0.247
0.1064,0.43596,0.65253,0,<- LEFT,FORWARD,0.2564,0.232
0.1495,0.43518,0.65258,0,<- LEFT,FORWARD,0.2564,0.232
0.1817,0.435,0.65262,0,<- LEFT,FORWARD,0.2491,0.2352
0.2295,0.43471,0.65279,0,<- LEFT,FORWARD,0.2707,0.2352
0.2663,0.43479,0.65281,0,<- LEFT,FORWARD,0.2707,0.2352
0.2953,0.4342,0.65283,0,<- LEFT,FORWARD,0.2564,0.2544
0.3341,0.43355,0.65287,0,<- LEFT,FORWARD,0.2421,0.2471
0.3562,0.43358,0.65253,0,<- LEFT,FORWARD,0.2707,0.2544
0.3863,0.43357,0.65201,0,<- LEFT,FORWARD,0.2746,0.2498
0.4039,0.43325,0.65187,0,<- LEFT,FORWARD,0.2564,0.2468
0.4288,0.43305,0.65192,0,<- LEFT,FORWARD,0.2564,0.219
0.4735,0.43206,0.65165,0,<- LEFT,FORWARD,0.2077,0.219
0.4915,0.43193,0.65207,0,<- LEFT,FORWARD,0.1997,0.219
0.5542,0.4306,0.6409,0,<- LEFT,FORWARD,0.2564,0.224
0.5938,0.43031,0.64026,0,<- LEFT,FORWARD,0.271,0.2175
0.6165,0.42426,0.63893,0,<- LEFT,FORWARD,0.2746,0.2069
0.6355,0.42282,0.6379,0,<- LEFT,FORWARD,0.289,0.2355
0.6955,0.414,0.63577,0,<- LEFT,FORWARD,0.3005,0.2832
0.7283,0.41145,0.63361,0,<- LEFT,FORWARD,0.3334,0.3104
0.761,0.40818,0.63289,0,<- LEFT,FORWARD,0.3181,0.3241
0.801,0.40816,0.63253,0,<- LEFT,FORWARD,0.3283,0.3104
0.8292,0.4036,0.63222,0,<- LEFT,FORWARD,0.3264,0.2495
0.8674,0.40188,0.63131,0,<- LEFT,FORWARD,0.3017,0.2188
0.8982,0.39955,0.62492,0,<- LEFT,FORWARD,0.2921,0.2425
0.94,0.39879,0.62453,0,<- LEFT,FORWARD,0.2946,0.2352
0.9716,0.3948,0.62346,0,<- LEFT,FORWARD,0.2718,0.2355
1.0084,0.39421,0.62293,0,<- LEFT,FORWARD,0.2718,0.2352
1.0425,0.39173,0.62244,0,<- LEFT,FORWARD,0.278,0.2282
1.0647,0.3905,0.62243,0,<- LEFT,FORWARD,0.278,0.2191
1.0837,0.38796,0.62175,0,<- LEFT,FORWARD,0.278,0.2249
1.1014,0.38754,0.62155,0,<- LEFT,FORWARD,0.278,0.2249
1.1579,0.38453,0.62306,0,<- LEFT,FORWARD,0.3123,0.2255
1.1905,0.38457,0.6242,0,<- LEFT,FORWARD,0.3123,0.2188
1.2288,0.38198,0.62916,0,<- LEFT,FORWARD,0.3686,0.3164
