timestamp,gaze_x,gaze_y,blink,gaze_dir,head_status,ear_left,ear_right
0.0204,0.46204,0.5736,0,<- LEFT,FORWARD,0.2719,0.2873
0.055,0.45811,0.57358,0,<- LEFT,FORWARD,0.2835,0.2873
0.085,0.4564,0.57378,0,<- LEFT,FORWARD,0.2824,0.3048
0.1015,0.45558,0.57381,0,<- LEFT,FORWARD,0.2729,0.2873
0.133,0.4543,0.57405,0,<- LEFT,FORWARD,0.2824,0.2862
0.1645,0.45449,0.57423,0,<- LEFT,FORWARD,0.2904,0.3107
0.1907,0.45513,0.57426,0,<- LEFT,FORWARD,0.3015,0.3052
0.2173,0.4557,0.57388,0,<- LEFT,FORWARD,0.3016,0.3156
0.2596,0.45555,0.57371,0,<- LEFT,FORWARD,0.2924,0.3219
0.2894,0.4557,0.57357,0,<- LEFT,FORWARD,0.2839,0.3219
0.3196,0.45577,0.57325,0,<- LEFT,FORWARD,0.2839,0.3048
0.3515,0.45599,0.5733,0,<- LEFT,FORWARD,0.285,0.3066
0.3852,0.45868,0.57365,0,<- LEFT,FORWARD,0.285,0.3288
0.4077,0.46073,0.57356,0,<- LEFT,FORWARD,0.2663,0.3347
0.4381,0.46226,0.57327,0,<- LEFT,FORWARD,0.2675,0.3302
0.4809,0.46445,0.5737,0,<- LEFT,FORWARD,0.25,0.3232
0.5318,0.46623,0.57303,0,<- LEFT,FORWARD,0.2381,0.3031
